1,0,803,424,57,85,1,-1,-1,-1
1,1,442,573,40,85,1,-1,-1,-1
1,2,227,606,52,94,1,-1,-1,-1
1,3,182,355,46,71,1,-1,-1,-1
1,4,1000,476,56,79,1,-1,-1,-1
2,0,800,424,57,84,1,-1,-1,-1
2,1,433,570,46,89,1,-1,-1,-1
2,2,223,606,63,97,1,-1,-1,-1
2,3,374,491,36,77,1,-1,-1,-1
2,4,1015,477,40,83,1,-1,-1,-1
3,0,807,424,43,85,1,-1,-1,-1
3,1,427,573,48,87,1,-1,-1,-1
3,2,232,606,56,98,1,-1,-1,-1
3,3,912,661,53,94,1,-1,-1,-1
3,4,1251,545,66,87,1,-1,-1,-1
4,0,814,425,27,75,1,-1,-1,-1
4,1,424,574,49,88,1,-1,-1,-1
4,2,228,608,50,98,1,-1,-1,-1
4,3,369,489,27,78,1,-1,-1,-1
4,4,1024,477,37,80,1,-1,-1,-1
5,0,807,424,30,79,1,-1,-1,-1
5,1,913,664,53,95,1,-1,-1,-1
5,2,234,608,30,69,1,-1,-1,-1
5,4,1270,545,42,91,1,-1,-1,-1
6,0,800,422,32,77,1,-1,-1,-1
6,1,422,578,34,83,1,-1,-1,-1
6,2,231,609,31,87,1,-1,-1,-1
6,3,351,488,34,82,1,-1,-1,-1
6,4,1011,478,62,76,1,-1,-1,-1
7,0,784,421,48,82,1,-1,-1,-1
7,1,420,579,29,75,1,-1,-1,-1
7,2,225,607,34,97,1,-1,-1,-1
7,3,138,343,40,78,1,-1,-1,-1
7,4,1022,475,55,84,1,-1,-1,-1
8,0,776,418,53,85,1,-1,-1,-1
8,1,412,578,30,83,1,-1,-1,-1
8,2,220,606,37,79,1,-1,-1,-1
8,3,129,342,41,77,1,-1,-1,-1
8,4,1263,544,72,91,1,-1,-1,-1
9,0,769,416,57,88,1,-1,-1,-1
9,1,401,574,40,93,1,-1,-1,-1
9,2,206,602,51,95,1,-1,-1,-1
9,3,116,344,46,74,1,-1,-1,-1
9,4,1042,475,31,79,1,-1,-1,-1
10,0,761,416,64,84,1,-1,-1,-1
10,1,898,664,53,85,1,-1,-1,-1
10,2,199,602,56,93,1,-1,-1,-1
10,3,393,575,42,93,1,-1,-1,-1
10,4,1035,473,46,82,1,-1,-1,-1
11,0,760,416,60,82,1,-1,-1,-1
11,1,384,578,46,89,1,-1,-1,-1
11,2,192,601,68,95,1,-1,-1,-1
11,3,315,489,39,81,1,-1,-1,-1
11,4,1030,472,54,81,1,-1,-1,-1
12,0,773,416,27,72,1,-1,-1,-1
12,1,890,669,56,95,1,-1,-1,-1
12,2,192,603,66,91,1,-1,-1,-1
12,3,381,580,42,89,1,-1,-1,-1
12,4,1027,476,67,76,1,-1,-1,-1
13,0,770,416,25,71,1,-1,-1,-1
13,1,885,670,63,100,1,-1,-1,-1
13,2,192,603,56,90,1,-1,-1,-1
13,3,382,584,29,83,1,-1,-1,-1
13,4,1032,472,65,86,1,-1,-1,-1
14,0,1058,469,31,83,1,-1,-1,-1
14,1,376,584,30,85,1,-1,-1,-1
14,2,192,604,44,91,1,-1,-1,-1
14,3,758,414,33,83,1,-1,-1,-1
14,4,1267,527,60,92,1,-1,-1,-1
15,0,746,411,44,84,1,-1,-1,-1
15,1,898,674,33,93,1,-1,-1,-1
15,2,188,603,39,87,1,-1,-1,-1
15,3,279,484,47,86,1,-1,-1,-1
15,4,1059,472,30,81,1,-1,-1,-1
16,0,738,408,45,86,1,-1,-1,-1
16,1,357,581,40,82,1,-1,-1,-1
16,2,185,603,34,86,1,-1,-1,-1
16,3,54,339,43,75,1,-1,-1,-1
16,4,1053,468,40,81,1,-1,-1,-1
17,0,727,405,54,88,1,-1,-1,-1
17,1,345,577,45,91,1,-1,-1,-1
17,2,176,600,40,91,1,-1,-1,-1
17,3,43,333,54,80,1,-1,-1,-1
17,4,1047,465,56,80,1,-1,-1,-1
18,0,719,406,61,84,1,-1,-1,-1
18,1,337,577,51,93,1,-1,-1,-1
18,2,165,596,48,97,1,-1,-1,-1
18,3,33,338,49,72,1,-1,-1,-1
18,4,1048,465,62,80,1,-1,-1,-1
19,0,717,406,56,79,1,-1,-1,-1
19,1,869,672,56,93,1,-1,-1,-1
19,2,155,596,61,97,1,-1,-1,-1
19,3,328,579,56,90,1,-1,-1,-1
19,4,1056,464,57,83,1,-1,-1,-1
20,0,729,406,32,78,1,-1,-1,-1
20,1,322,581,57,88,1,-1,-1,-1
20,2,148,594,66,99,1,-1,-1,-1
20,3,243,486,42,83,1,-1,-1,-1
20,4,865,671,62,97,1,-1,-1,-1
21,0,727,406,26,72,1,-1,-1,-1
21,1,319,582,46,86,1,-1,-1,-1
21,2,141,596,65,96,1,-1,-1,-1
21,3,237,487,40,85,1,-1,-1,-1
21,4,1079,464,30,80,1,-1,-1,-1
22,0,1073,460,44,80,1,-1,-1,-1
22,1,871,674,54,99,1,-1,-1,-1
22,2,140,596,53,95,1,-1,-1,-1
22,3,714,404,31,80,1,-1,-1,-1
22,4,1267,506,50,72,1,-1,-1,-1
23,0,703,401,41,87,1,-1,-1,-1
23,1,867,677,51,98,1,-1,-1,-1
23,2,315,585,36,85,1,-1,-1,-1
