100000000;23.8;3280000.25;FIELD4
100000001;49.5;3521000.25;
100000002;44.9;1020000.25;
100000003;52.5;2550000.5;
100000004;61;8200000.5;
100000005;76;2000000.62;
100000006;59;2392200.5;
100000007;58;9009001;
100000008;41.5;3280000.25;
100000009;56.8;6660000.5;
100000010;60;2050000.38;
100000011;49.3;1344200.5;
100000012;71.3;1845000.5;
100000013;55.8;1896000.5;
100000014;60.5;5550000;
100000015;66.1;3828000.5;
100000016;42;6570000.5;
100000017;40.2;8200000.5;
100000018;56.9;6120000.5;
100000019;45.4;2712000.5;
100000020;57.7;5794200;
100000021;48.6;4248000.5;
100000022;52.2;1915000.38;
100000023;54.9;1100000.5;
100000024;48.8;2862000.25;
100000025;61;1972800.5;
100000026;67.3;7700000.5;
100000027;42.7;3654000.25;
100000028;53.6;4168000.25;
100000029;36.6;3280000.25;
100000030;59.9;3448200.5;
100000031;42.3;1715000.38;
100000040;57.2;6025600.5;
100000046;30.8;5200000;
100000049;27.8;1800000.5;
100000051;35.9;6180000;
100000054;50;1312000.38;
100000059;43.9;7380000.5;
100000067;39;8200000.5;
100000069;0;6000000;
100000070;42.9;5600000;
100000077;51.7;2532000.25;
100000080;26.8;8200000;
100000091;46.3;8200000.5;
100000093;41.7;3409000.25;
100000100;50;8200000.5;
100000104;47.6;8200000.5;
100000111;33.3;8760000;
100000112;30.1;3090000.25;
100000113;52.4;8200000.5;
100000116;41.5;1880000.25;
100000121;31.9;6900000;
100000124;54.2;5900000.5;
100000125;46;6450000.5;
100000126;44.9;3472000.25;
100000129;19;5800000;
100000132;38.5;6500000;
100000135;25.4;7100000;
100000143;32.9;8200000.5;
100000148;24.2;3300000.75;
100000153;32.8;2380000.25;
100000155;0;2000000;
100000156;18.8;6400000;
100000158;46.6;7300000.5;
100000165;57.5;4064000.25;
100000170;53.7;8200000.5;
100000173;47;8899000;
100000174;75.6;8200000.5;
100000179;36.9;2440000.25;
100000182;52.6;3800000.25;
100000190;56.1;8200000.5;
100000194;53.2;6309000.5;
100000201;28.6;2800000.75;
100000211;34.8;6600000;
100000229;34.8;2300000.75;
100000241;25.6;8200000;
100000262;24.4;8200000;
100000265;29.3;4100000;
100000272;46.3;8200000.5;
100000273;30.5;8200000;
100000274;53.7;8200000.5;
100000275;52.4;8200000.5;
100000279;43.9;8200000.5;
100000281;25;3200000.75;
100000287;61;8200000.5;
100000295;23.2;8200000;
100000296;58.5;8200000.5;
100000298;34.1;8200000.5;
100000308;64.6;8200000.5;
100000311;43.5;2300000;
100000313;81.7;8200000.5;
100000323;20.7;8200000;
100000326;33.3;3000000;
100000335;46.3;8200000.5;
100000340;24.4;4500000;
100000341;51.2;8200000.5;
100000344;65.9;4100000.25;
100000350;52.1;7100000.5;
100000361;67.1;8200000.5;
100000365;27.3;3300001;
100000374;24.4;8200000;
100000385;31.7;8200000.5;
100000386;52.4;8200000.5;
100000420;56.8;3700000.25;
100000435;35.4;8200000.5;
100000439;29.3;5800000;
100000455;40.5;4200000;
100000461;23.2;8200000;
100000465;70.7;8200000.5;
100000474;25.9;5400000;
100000484;46.6;7300000.5;
100000490;38.6;4400000;
100000504;66.7;7200000.5;
100000512;23.6;7200000;
100000513;47.2;7200000.5;
100000520;39;4100000.25;
100000523;30.6;7200000;
100000534;62.2;8200000.5;
100000551;43.9;8200000.5;
100000554;26.8;8200000;
100000557;32.9;8200000.5;
100000563;42.7;8200000.5;
